# o        x          y         b         v         r         i
obj     279.4377   122.08     ----      ----      ----      -----
st1     294.3837   214.24     13.02     12.42     12.05     11.70 
st2     132.8936   37.32      13.73     12.99     12.56     12.17 
st3     150.2902   68.7       15.49     14.87     14.53     14.20 
