# o        x             y               b          v        r          i
obj    134.22896      132.13335        -----      -----    -----      -----
st1    130.53693      189.93480        -----      -----    -----      -----
st2    194.37926      143.78970        -----      -----    -----      -----
st3    196.25066      100.19867        -----      -----    -----      -----
st4    168.51942      87.383774        -----      -----    -----      -----
st5    168.40413      102.18126        -----      -----    -----      -----
